user_id|session_id|link_count|unique_link_count|session_duration_in_s|vid_count|unique_vid_count|total_vid_view
86|233766|15|8|6742|233766|1|1
86|234072|11|9|3310|234072|1|1
86|234229|46|25|9236|234229|1|1
86|234295|26|15|3926|234295|8|3906
86|234882|4|4|33|234882|1|1
86|235022|32|13|19506|235022|1|1
86|235954|7|6|297|235954|1|1
86|236644|20|13|15909|236644|2|1
86|236717|30|15|4378|236717|2|1
86|236887|27|6|3232|236887|3|1
86|240195|9|5|84493|240195|2|86401
86|240536|5|5|7359|240536|1|1
86|240964|2|2|43|240964|7|1
86|240965|82|27|86421|240965|7|1
86|241470|3|3|53|241470|1|1
86|241471|2|2|28|241471|2|1
86|241571|5|3|206|241571|2|2183
86|241572|4|3|2444|241572|1|2426
86|244640|12|9|33278|244640|1|1
86|247711|59|16|86421|247711|2|1
86|256739|6|6|13436|256739|21|13417
86|258016|79|29|86421|258016|7|1
86|258613|16|8|86421|258613|1|86401
86|259230|14|13|844|259230|1|825
86|259231|11|9|1337|259231|2|1318
86|259233|76|51|86421|259233|8|1
86|259939|14|7|1140|259939|6|1
86|264964|10|9|655|264964|2|1
86|270232|11|10|934|270232|5|2437
86|270240|24|16|7732|270240|19|9415
86|270265|69|19|4202|270265|13|5371
86|270290|36|22|12423|270290|31|1
86|270355|32|25|9292|270355|13|1
86|306952|18|12|14301|306952|6|1
86|307048|40|24|3271|307048|11|1
86|307204|12|5|16342|307204|1|16293
86|307239|59|32|13730|307239|17|1
86|307323|43|25|2591|307323|12|1
86|307408|49|31|3146|307408|7|1
86|307527|23|16|1818|307527|7|1
86|307580|19|13|712|307580|3|1
86|307759|29|27|1304|307759|7|1
86|307833|38|29|6684|307833|7|1
86|308001|87|80|17290|308001|33|1
86|310252|23|7|8124|310252|1|1
86|310349|21|13|3214|310349|4|1
86|310515|12|7|32224|310515|2|1
86|310659|23|12|2781|310659|3|1
86|312334|12|10|5255|312334|4|1
86|313811|23|13|12526|313811|2|14116
86|313846|2|2|32|313846|1|1
86|316685|8|6|10299|316685|2|1
86|319052|8|7|10550|319052|1|1
86|319130|46|24|17736|319130|4|1
86|319197|43|33|4359|319197|10|1
86|319257|21|13|1536|319257|1|1
86|319269|5|5|113|319269|1|1
86|320145|48|24|4091|320145|5|1
86|320286|53|28|14283|320286|12|1
86|320817|23|11|2478|320817|3|1
86|321043|47|43|3733|321043|10|4322
86|321057|62|36|22534|321057|10|1
86|321198|33|22|23345|321198|13|1
86|321338|30|23|2947|321338|9|1
86|322022|24|19|23343|322022|6|1
86|322174|21|20|4929|322174|12|1
86|323167|18|12|2166|323167|4|1
86|325179|7|5|278|325179|1|1
86|325812|32|22|2697|325812|7|1
86|326291|6|5|349|326291|1|1
86|326695|38|25|4578|326695|5|1
86|327267|33|22|1474|327267|2|1
86|327541|6|5|504|327541|1|1
86|327963|3|3|70|327963|1|1
86|328360|87|61|13392|328360|6|1
86|328539|40|36|6864|328539|12|6844
86|328571|8|5|346|328571|2|1
86|328650|2|1|34|328650|1|82
86|328651|126|114|13404|328651|34|1
86|328945|10|10|1010|328945|1|1
86|328965|14|14|6598|328965|1|6578
86|329030|24|18|20086|329030|2|20066
86|329126|98|89|21395|329126|36|1
86|329204|45|44|3401|329204|1|1
86|329745|35|29|2256|329745|3|1
86|329749|72|57|8580|329749|33|8560
86|329839|80|70|29171|329839|18|1
86|329936|80|66|28379|329936|21|1
86|330051|58|55|25128|330051|15|1
86|330170|29|29|5278|330170|9|12623
86|330187|9|6|7265|330187|2|1
86|330295|59|51|10505|330295|21|1
86|330316|128|101|79512|330316|41|1
